zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:(Juncus acutus ssp. leopoldii)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Monolopia gracilens
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Amsinckia lunaris
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Plagiobothrys chorisianus var. chorisianus
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Plagiobothrys glaber
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Spergularia macrotheca var. longistyla
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Extriplex joaquinana
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Suaeda californica
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Calystegia purpurata ssp. saxicola
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Viburnum ellipticum
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Arctostaphylos pallida
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Astragalus tener var. tener
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Trifolium hydrophilum
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Hoita strobilina
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Clarkia concinna ssp. automixa
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Clarkia franciscana
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Oenothera deltoides ssp. howellii
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Meconella oregana
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Chorizanthe cuspidata var. cuspidata
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Chorizanthe robusta var. robusta
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Eriogonum luteolum var. caninum
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Polygonum marinense
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Gilia capitata ssp. chamissonis
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Gilia millefoliata
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Leptosiphon rosaceus
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Horkelia cuneata var. sericea
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Chloropyron maritimum ssp. palustre
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Triphysaria floribunda
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Dirca occidentalis
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Carex comosa
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Calochortus pulchellus
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Fritillaria liliacea
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Heteranthera dubia
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Stuckenia filiformis ssp. alpina
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Pallid Manzanita Arctostaphylos pallida
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Presidio Clarkia Clarkia franciscana
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Robust Spineflower Chorizanthe robusta var. robusta
zips/2024100044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CUP24-0015 INITIAL STUDY OCR 10.PDF:chaparral sand-verbena (Abronia villosa var. aurita,); Reptiles : Colorado Desert fringetoed lizard (Uma notata); Birds: burrowing owl (Athene cunicularia), California black
